timestamp_utc,zone_flow,min_flow_sp,fan_status
2026-01-05T12:00:00Z,400,200,1
2026-01-05T12:07:00Z,400,200,1
2026-01-05T12:06:00Z,400,200,1
2026-01-05T12:21:00Z,400,200,1
2026-01-05T12:12:00Z,400,200,1
2026-01-05T12:35:00Z,400,200,1
2026-01-05T12:18:00Z,400,200,1
2026-01-05T12:49:00Z,400,200,1
2026-01-05T12:24:00Z,400,200,1
2026-01-05T13:03:00Z,400,200,1
2026-01-05T12:30:00Z,400,200,1
2026-01-05T13:17:00Z,400,200,1
2026-01-05T12:36:00Z,400,200,1
2026-01-05T13:31:00Z,400,200,1
2026-01-05T12:42:00Z,400,200,1
2026-01-05T13:45:00Z,400,200,1
2026-01-05T12:48:00Z,400,200,1
2026-01-05T13:59:00Z,400,200,1
2026-01-05T12:54:00Z,400,200,1
2026-01-05T14:13:00Z,400,200,1
2026-01-05T13:00:00Z,400,200,1
2026-01-05T14:27:00Z,400,200,1
2026-01-05T13:06:00Z,400,200,1
2026-01-05T14:41:00Z,400,200,1
