timestamp_utc,zone_t,occ_mode
2026-01-05T12:00:00Z,74.0,unoccupied
2026-01-05T12:03:00Z,74.0,unoccupied
2026-01-05T12:06:00Z,74.0,unoccupied
2026-01-05T12:09:00Z,74.0,unoccupied
2026-01-05T12:12:00Z,74.0,unoccupied
2026-01-05T12:15:00Z,74.0,unoccupied
2026-01-05T12:18:00Z,74.0,unoccupied
2026-01-05T12:21:00Z,74.0,unoccupied
2026-01-05T12:24:00Z,74.0,unoccupied
2026-01-05T12:27:00Z,74.0,unoccupied
2026-01-05T12:30:00Z,74.0,unoccupied
2026-01-05T12:33:00Z,74.0,unoccupied
2026-01-05T12:36:00Z,74.0,unoccupied
2026-01-05T12:39:00Z,74.0,unoccupied
2026-01-05T12:42:00Z,74.0,unoccupied
2026-01-05T12:45:00Z,74.0,unoccupied
2026-01-05T12:48:00Z,74.0,unoccupied
2026-01-05T12:51:00Z,74.0,unoccupied
2026-01-05T12:54:00Z,74.0,unoccupied
2026-01-05T12:57:00Z,74.0,unoccupied
2026-01-05T13:00:00Z,74.0,unoccupied
2026-01-05T13:03:00Z,74.0,unoccupied
2026-01-05T13:06:00Z,74.0,unoccupied
2026-01-05T13:09:00Z,74.0,unoccupied
