Timestamp,Value (%RH)
07-May-22 12:00:00 PM CDT,32.4
07-May-22 12:05:00 PM CDT,32.6
07-May-22 12:10:00 PM CDT,32.3
07-May-22 12:15:00 PM CDT,33.0
07-May-22 12:20:00 PM CDT,32.8
07-May-22 12:25:00 PM CDT,31.6
07-May-22 12:30:00 PM CDT,32.6
07-May-22 12:35:00 PM CDT,32.5
07-May-22 12:40:00 PM CDT,31.6
07-May-22 12:45:00 PM CDT,31.3
07-May-22 12:50:00 PM CDT,31.4
07-May-22 12:55:00 PM CDT,30.8
07-May-22 1:00:00 PM CDT,30.2
07-May-22 1:05:00 PM CDT,29.6
07-May-22 1:10:00 PM CDT,29.0
07-May-22 1:15:00 PM CDT,28.4
07-May-22 1:20:00 PM CDT,27.9
07-May-22 1:25:00 PM CDT,29.6
07-May-22 1:30:00 PM CDT,29.7
07-May-22 1:35:00 PM CDT,29.2
07-May-22 1:40:00 PM CDT,29.5
07-May-22 1:45:00 PM CDT,29.7
07-May-22 1:50:00 PM CDT,28.7
07-May-22 1:55:00 PM CDT,28.7
07-May-22 2:00:00 PM CDT,28.1
07-May-22 2:05:00 PM CDT,27.8
07-May-22 2:10:00 PM CDT,26.4
07-May-22 2:15:00 PM CDT,26.2
07-May-22 2:20:00 PM CDT,25.7
07-May-22 2:25:00 PM CDT,25.4
07-May-22 2:30:00 PM CDT,26.6
07-May-22 2:35:00 PM CDT,26.3
07-May-22 2:40:00 PM CDT,25.9
07-May-22 2:45:00 PM CDT,25.5
07-May-22 2:50:00 PM CDT,24.9
07-May-22 2:55:00 PM CDT,25.8
07-May-22 3:00:00 PM CDT,25.9
07-May-22 3:05:00 PM CDT,25.2
07-May-22 3:10:00 PM CDT,25.8
07-May-22 3:15:00 PM CDT,25.6
07-May-22 3:20:00 PM CDT,25.9
07-May-22 3:25:00 PM CDT,26.1
07-May-22 3:30:00 PM CDT,24.9
07-May-22 3:35:00 PM CDT,25.5
07-May-22 3:40:00 PM CDT,26.1
07-May-22 3:45:00 PM CDT,26.2
07-May-22 3:50:00 PM CDT,25.9
07-May-22 3:55:00 PM CDT,26.4
07-May-22 4:00:00 PM CDT,25.4
07-May-22 4:05:00 PM CDT,25.8
07-May-22 4:10:00 PM CDT,26.0
07-May-22 4:15:00 PM CDT,26.1
07-May-22 4:20:00 PM CDT,26.1
07-May-22 4:25:00 PM CDT,26.1
07-May-22 4:30:00 PM CDT,26.1
07-May-22 4:35:00 PM CDT,26.1
07-May-22 4:40:00 PM CDT,26.2
07-May-22 4:45:00 PM CDT,26.2
07-May-22 4:50:00 PM CDT,26.3
07-May-22 4:55:00 PM CDT,26.4
07-May-22 5:00:00 PM CDT,26.5
07-May-22 5:05:00 PM CDT,26.6
07-May-22 5:10:00 PM CDT,26.7
07-May-22 5:15:00 PM CDT,26.9
07-May-22 5:20:00 PM CDT,27.1
07-May-22 5:25:00 PM CDT,27.3
07-May-22 5:30:00 PM CDT,27.4
07-May-22 5:35:00 PM CDT,27.5
07-May-22 5:40:00 PM CDT,27.6
07-May-22 5:45:00 PM CDT,27.6
07-May-22 5:50:00 PM CDT,27.7
07-May-22 5:55:00 PM CDT,27.8
07-May-22 6:00:00 PM CDT,27.9
07-May-22 6:05:00 PM CDT,28.0
07-May-22 6:10:00 PM CDT,28.0
07-May-22 6:15:00 PM CDT,28.1
07-May-22 6:20:00 PM CDT,28.2
07-May-22 6:25:00 PM CDT,28.2
07-May-22 6:30:00 PM CDT,28.3
07-May-22 6:35:00 PM CDT,28.4
07-May-22 6:40:00 PM CDT,28.5
07-May-22 6:45:00 PM CDT,28.5
07-May-22 6:50:00 PM CDT,28.6
07-May-22 6:55:00 PM CDT,28.6
07-May-22 7:00:00 PM CDT,28.7
07-May-22 7:05:00 PM CDT,28.7
07-May-22 7:10:00 PM CDT,28.8
07-May-22 7:15:00 PM CDT,28.9
07-May-22 7:20:00 PM CDT,28.9
07-May-22 7:25:00 PM CDT,29.0
07-May-22 7:30:00 PM CDT,29.0
07-May-22 7:35:00 PM CDT,29.0
07-May-22 7:40:00 PM CDT,29.0
07-May-22 7:45:00 PM CDT,29.1
07-May-22 7:50:00 PM CDT,29.1
07-May-22 7:55:00 PM CDT,29.1
07-May-22 8:00:00 PM CDT,29.2
