Date,sat,mat
2023-01-16 12:24:00,73,70
2023-01-16 12:39:00,72,71
2023-01-16 12:54:00,71,70
2023-01-16 13:09:00,70,71
2023-01-16 13:24:00,71,72
2023-01-16 13:39:00,70,71
2023-01-16 13:54:00,71,72
2023-01-16 14:09:00,70,73
2023-01-16 14:24:00,69,74
2023-01-16 14:39:00,68,73
2023-01-16 14:54:00,69,74
2023-01-16 15:09:00,68,75
2023-01-16 15:24:00,67,76
2023-01-16 15:39:00,68,77
2023-01-16 15:54:00,69,76
2023-01-16 16:09:00,68,77
2023-01-16 16:24:00,67,76
2023-01-16 16:39:00,68,77
2023-01-16 16:54:00,67,78
2023-01-16 17:09:00,68,77
2023-01-16 17:24:00,69,76
2023-01-16 17:39:00,70,77
2023-01-16 17:54:00,69,76
2023-01-16 18:09:00,70,77
2023-01-16 18:24:00,71,78
2023-01-16 18:39:00,70,77
2023-01-16 18:54:00,71,78
2023-01-16 19:09:00,72,79
2023-01-16 19:24:00,73,80
2023-01-16 19:39:00,74,80
2023-01-16 19:54:00,75,80
2023-01-16 20:09:00,76,80
2023-01-16 20:24:00,75,80
2023-01-16 20:39:00,76,79
2023-01-16 20:54:00,77,80
2023-01-16 21:09:00,76,79
2023-01-16 21:24:00,77,78
2023-01-16 21:39:00,76,77
2023-01-16 21:54:00,75,78
2023-01-16 22:09:00,76,77
2023-01-16 22:24:00,77,76
2023-01-16 22:39:00,78,75
2023-01-16 22:54:00,79,74
2023-01-16 23:09:00,80,73
2023-01-16 23:24:00,79,72
2023-01-16 23:39:00,80,71
2023-01-16 23:54:00,81,72
2023-01-17 00:09:00,82,71
2023-01-17 00:24:00,81,72
2023-01-17 00:39:00,82,71
2023-01-17 00:54:00,81,72
2023-01-17 01:09:00,80,71
2023-01-17 01:24:00,79,70
2023-01-17 01:39:00,78,71
2023-01-17 01:54:00,79,70
2023-01-17 02:09:00,78,70
2023-01-17 02:24:00,79,71
2023-01-17 02:39:00,80,72
2023-01-17 02:54:00,79,73
2023-01-17 03:09:00,78,72
2023-01-17 03:24:00,77,73
2023-01-17 03:39:00,78,72
2023-01-17 03:54:00,79,71
2023-01-17 04:09:00,78,72
2023-01-17 04:24:00,77,71
2023-01-17 04:39:00,76,70
2023-01-17 04:54:00,77,70
2023-01-17 05:09:00,78,70
2023-01-17 05:24:00,77,71
2023-01-17 05:39:00,76,72
2023-01-17 05:54:00,77,71
2023-01-17 06:09:00,76,72
2023-01-17 06:24:00,77,71
2023-01-17 06:39:00,76,72
2023-01-17 06:54:00,77,73
2023-01-17 07:09:00,78,72
2023-01-17 07:24:00,77,71
2023-01-17 07:39:00,78,72
2023-01-17 07:54:00,79,71
2023-01-17 08:09:00,78,72
2023-01-17 08:24:00,79,71
2023-01-17 08:39:00,78,70
2023-01-17 08:54:00,79,71
2023-01-17 09:09:00,80,72
2023-01-17 09:24:00,79,71
2023-01-17 09:39:00,78,70
2023-01-17 09:54:00,77,70
2023-01-17 10:09:00,76,71
2023-01-17 10:24:00,75,72
2023-01-17 10:39:00,76,71
2023-01-17 10:54:00,77,72
2023-01-17 11:09:00,78,73
2023-01-17 11:24:00,77,72
2023-01-17 11:39:00,76,73
2023-01-17 11:54:00,75,72
2023-01-17 12:09:00,74,71
2023-01-17 12:24:00,75,70
2023-01-17 12:39:00,76,70
2023-01-17 12:54:00,75,71
2023-01-17 13:09:00,74,72
2023-01-17 13:24:00,75,73
2023-01-17 13:39:00,76,72
2023-01-17 13:54:00,75,73
2023-01-17 14:09:00,74,72
2023-01-17 14:24:00,75,73
2023-01-17 14:39:00,76,74
2023-01-17 14:54:00,75,73
2023-01-17 15:09:00,74,74
