Date,kW_Q0.025,kW_Q0.25,kW_Q0.75,kW_Q0.975,kW,hour_max_demand,kWH,month,day_of_week
2013-07-17,36.85,50.55,193.7,226.7,233.6,0.0,3257.55,7.0,2.0
2013-07-18,37.4,45.74999999999999,164.25,214.3,271.0,5.0,2456.4999999999995,7.0,3.0
2013-07-19,31.625,41.349999999999994,176.89999999999998,233.375,306.4,5.0,2577.2499999999995,7.0,4.0
2013-07-20,30.625,35.4,61.099999999999994,91.575,109.0,12.0,1175.55,7.0,5.0
2013-07-21,25.75,29.700000000000003,55.25,82.4,121.8,5.0,1048.7,7.0,6.0
2013-07-22,27.475,37.35,147.25,163.25,175.2,5.0,2408.3,7.0,0.0
2013-07-23,29.275,32.0,106.75000000000001,126.525,148.0,5.0,1541.0999999999997,7.0,1.0
2013-07-24,30.425,33.6,63.65,123.05,124.2,11.0,1347.7000000000003,7.0,2.0
2013-07-25,30.175,33.349999999999994,68.1,120.575,125.4,12.0,1324.1,7.0,3.0
2013-07-26,27.875,31.550000000000004,65.25,102.9,106.6,8.0,1223.3999999999999,7.0,4.0
2013-07-27,23.4,25.4,31.85,40.175,40.8,20.0,716.15,7.0,5.0
2013-07-28,23.8,28.550000000000004,31.6,33.8,34.0,7.0,710.9499999999999,7.0,6.0
2013-07-29,27.4,30.15,59.85000000000001,87.65,88.4,11.0,1126.8999999999999,7.0,0.0
2013-07-30,25.95,31.0,62.25,92.475,100.4,12.0,1114.45,7.0,1.0
2013-07-31,29.55,31.6,60.14999999999999,92.2,97.6,12.0,1169.7,7.0,2.0
2013-08-01,28.075,31.2,61.75000000000001,101.025,105.2,12.0,1200.2000000000003,8.0,3.0
2013-08-02,26.8,30.9,65.8,117.5,120.4,13.0,1238.7500000000002,8.0,4.0
2013-08-03,26.35,28.15,32.0,36.475,38.2,15.0,718.7,8.0,5.0
2013-08-04,23.825,27.6,36.25,45.3,48.4,14.0,773.2500000000001,8.0,6.0
2013-08-05,26.475,34.15,100.55,128.05,139.6,10.0,1716.75,8.0,0.0
2013-08-06,29.875,35.4,81.7,133.575,137.2,11.0,1422.5500000000002,8.0,1.0
2013-08-07,30.15,40.35,104.65,180.875,192.2,11.0,1863.5999999999997,8.0,2.0
2013-08-08,29.475,34.75,109.85,151.35,157.6,12.0,1586.8999999999999,8.0,3.0
2013-08-09,30.4,33.3,75.5,135.65,143.2,12.0,1418.2500000000002,8.0,4.0
2013-08-10,29.4,32.75,34.6,39.375,41.2,16.0,812.65,8.0,5.0
2013-08-11,24.9,30.349999999999998,43.05,198.425,218.8,22.0,1125.9499999999998,8.0,6.0
2013-08-12,31.6,61.599999999999994,124.79999999999998,167.075,185.6,0.0,2332.75,8.0,0.0
2013-08-13,29.875,32.150000000000006,70.5,108.2,111.6,12.0,1276.2499999999995,8.0,1.0
2013-08-14,30.425,33.0,78.65,92.85,99.8,12.0,1218.8999999999999,8.0,2.0
2013-08-15,32.0,34.0,73.65,117.825,120.8,12.0,1325.7999999999995,8.0,3.0
2013-08-16,31.475,33.6,65.30000000000001,117.925,121.6,12.0,1278.1999999999996,8.0,4.0
2013-08-17,29.1,33.150000000000006,36.6,41.525,42.4,14.0,837.2499999999999,8.0,5.0
2013-08-18,28.8,31.6,45.75,57.775,60.4,14.0,939.4499999999999,8.0,6.0
2013-08-19,29.6,39.95,118.45000000000002,170.25,174.4,11.0,2070.2499999999995,8.0,0.0
2013-08-20,34.65,40.0,105.30000000000001,171.65,179.2,10.0,1815.0000000000002,8.0,1.0
2013-08-21,33.2,39.900000000000006,124.75,192.3,202.6,12.0,2021.8,8.0,2.0
2013-08-22,31.675,38.349999999999994,108.60000000000001,168.9,194.2,8.0,1738.05,8.0,3.0
2013-08-23,30.075,31.6,73.85,151.85,153.0,10.0,1500.05,8.0,4.0
2013-08-24,27.025,32.4,44.25000000000001,51.2,52.0,22.0,926.4499999999999,8.0,5.0
2013-08-25,29.45,37.550000000000004,51.6,83.725,90.4,15.0,1124.2,8.0,6.0
2013-08-26,32.75,41.050000000000004,175.9,265.475,275.4,12.0,2876.5000000000005,8.0,0.0
2013-08-27,33.95,44.6,160.79999999999998,271.975,296.0,9.0,2793.949999999999,8.0,1.0
2013-08-28,32.875,41.65,187.90000000000003,234.125,244.0,8.0,2505.750000000001,8.0,2.0
2013-08-29,32.5,40.150000000000006,138.4,202.3,214.4,12.0,2094.05,8.0,3.0
2013-08-30,30.75,41.6,154.05,201.525,220.8,12.0,2081.5499999999997,8.0,4.0
2013-08-31,29.075,32.8,39.35,84.425,92.6,9.0,965.5999999999999,8.0,5.0
2013-09-01,,,,,,,,,
2013-09-02,,,,,,,,,
2013-09-03,,,,,,,,,
2013-09-04,,,,,,,,,
2013-09-05,,,,,,,,,
2013-09-06,,,,,,,,,
2013-09-07,,,,,,,,,
2013-09-08,,,,,,,,,
2013-09-09,,,,,,,,,
2013-09-10,,,,,,,,,
2013-09-11,,,,,,,,,
2013-09-12,,,,,,,,,
2013-09-13,,,,,,,,,
2013-09-14,,,,,,,,,
2013-09-15,,,,,,,,,
2013-09-16,,,,,,,,,
2013-09-17,,,,,,,,,
2013-09-18,,,,,,,,,
2013-09-19,,,,,,,,,
2013-09-20,,,,,,,,,
2013-09-21,,,,,,,,,
2013-09-22,,,,,,,,,
2013-09-23,,,,,,,,,
2013-09-24,,,,,,,,,
2013-09-25,,,,,,,,,
2013-09-26,,,,,,,,,
2013-09-27,,,,,,,,,
2013-09-28,,,,,,,,,
2013-09-29,,,,,,,,,
2013-09-30,,,,,,,,,
2013-10-01,,,,,,,,,
2013-10-02,,,,,,,,,
2013-10-03,,,,,,,,,
2013-10-04,,,,,,,,,
2013-10-05,,,,,,,,,
2013-10-06,,,,,,,,,
2013-10-07,,,,,,,,,
2013-10-08,,,,,,,,,
2013-10-09,,,,,,,,,
2013-10-10,,,,,,,,,
2013-10-11,,,,,,,,,
2013-10-12,,,,,,,,,
2013-10-13,,,,,,,,,
2013-10-14,,,,,,,,,
2013-10-15,,,,,,,,,
2013-10-16,,,,,,,,,
2013-10-17,,,,,,,,,
2013-10-18,,,,,,,,,
2013-10-19,,,,,,,,,
2013-10-20,,,,,,,,,
2013-10-21,,,,,,,,,
2013-10-22,,,,,,,,,
2013-10-23,,,,,,,,,
2013-10-24,,,,,,,,,
2013-10-25,,,,,,,,,
2013-10-26,,,,,,,,,
2013-10-27,,,,,,,,,
2013-10-28,,,,,,,,,
2013-10-29,,,,,,,,,
2013-10-30,,,,,,,,,
2013-10-31,,,,,,,,,
2013-11-01,,,,,,,,,
2013-11-02,,,,,,,,,
2013-11-03,,,,,,,,,
2013-11-04,,,,,,,,,
2013-11-05,,,,,,,,,
2013-11-06,,,,,,,,,
2013-11-07,,,,,,,,,
2013-11-08,,,,,,,,,
2013-11-09,,,,,,,,,
2013-11-10,,,,,,,,,
2013-11-11,,,,,,,,,
2013-11-12,,,,,,,,,
2013-11-13,,,,,,,,,
2013-11-14,,,,,,,,,
2013-11-15,,,,,,,,,
2013-11-16,,,,,,,,,
2013-11-17,,,,,,,,,
2013-11-18,,,,,,,,,
2013-11-19,,,,,,,,,
2013-11-20,,,,,,,,,
2013-11-21,,,,,,,,,
2013-11-22,,,,,,,,,
2013-11-23,,,,,,,,,
2013-11-24,,,,,,,,,
2013-11-25,,,,,,,,,
2013-11-26,,,,,,,,,
2013-11-27,,,,,,,,,
2013-11-28,,,,,,,,,
2013-11-29,,,,,,,,,
2013-11-30,,,,,,,,,
2013-12-01,,,,,,,,,
2013-12-02,,,,,,,,,
2013-12-03,,,,,,,,,
2013-12-04,,,,,,,,,
2013-12-05,,,,,,,,,
2013-12-06,,,,,,,,,
2013-12-07,,,,,,,,,
2013-12-08,,,,,,,,,
2013-12-09,,,,,,,,,
2013-12-10,,,,,,,,,
2013-12-11,,,,,,,,,
2013-12-12,,,,,,,,,
2013-12-13,,,,,,,,,
2013-12-14,,,,,,,,,
2013-12-15,,,,,,,,,
2013-12-16,,,,,,,,,
2013-12-17,,,,,,,,,
2013-12-18,,,,,,,,,
2013-12-19,,,,,,,,,
2013-12-20,,,,,,,,,
2013-12-21,,,,,,,,,
2013-12-22,,,,,,,,,
2013-12-23,,,,,,,,,
2013-12-24,,,,,,,,,
2013-12-25,,,,,,,,,
2013-12-26,,,,,,,,,
2013-12-27,,,,,,,,,
2013-12-28,,,,,,,,,
2013-12-29,,,,,,,,,
2013-12-30,,,,,,,,,
2013-12-31,,,,,,,,,
2014-01-01,,,,,,,,,
2014-01-02,,,,,,,,,
2014-01-03,,,,,,,,,
2014-01-04,,,,,,,,,
2014-01-05,,,,,,,,,
2014-01-06,,,,,,,,,
2014-01-07,,,,,,,,,
2014-01-08,,,,,,,,,
2014-01-09,,,,,,,,,
2014-01-10,,,,,,,,,
2014-01-11,,,,,,,,,
2014-01-12,,,,,,,,,
2014-01-13,,,,,,,,,
2014-01-14,,,,,,,,,
2014-01-15,,,,,,,,,
2014-01-16,,,,,,,,,
2014-01-17,,,,,,,,,
2014-01-18,,,,,,,,,
2014-01-19,,,,,,,,,
2014-01-20,,,,,,,,,
2014-01-21,,,,,,,,,
2014-01-22,,,,,,,,,
2014-01-23,,,,,,,,,
2014-01-24,,,,,,,,,
2014-01-25,,,,,,,,,
2014-01-26,,,,,,,,,
2014-01-27,,,,,,,,,
2014-01-28,,,,,,,,,
2014-01-29,,,,,,,,,
2014-01-30,,,,,,,,,
2014-01-31,,,,,,,,,
2014-02-01,,,,,,,,,
2014-02-02,,,,,,,,,
2014-02-03,,,,,,,,,
2014-02-04,,,,,,,,,
2014-02-05,,,,,,,,,
2014-02-06,,,,,,,,,
2014-02-07,,,,,,,,,
2014-02-08,,,,,,,,,
2014-02-09,,,,,,,,,
2014-02-10,,,,,,,,,
2014-02-11,,,,,,,,,
2014-02-12,,,,,,,,,
2014-02-13,,,,,,,,,
2014-02-14,,,,,,,,,
2014-02-15,,,,,,,,,
2014-02-16,,,,,,,,,
2014-02-17,,,,,,,,,
2014-02-18,,,,,,,,,
2014-02-19,,,,,,,,,
2014-02-20,,,,,,,,,
2014-02-21,,,,,,,,,
2014-02-22,,,,,,,,,
2014-02-23,,,,,,,,,
2014-02-24,,,,,,,,,
2014-02-25,,,,,,,,,
2014-02-26,,,,,,,,,
2014-02-27,,,,,,,,,
2014-02-28,,,,,,,,,
2014-03-01,,,,,,,,,
2014-03-02,,,,,,,,,
2014-03-03,,,,,,,,,
2014-03-04,,,,,,,,,
2014-03-05,,,,,,,,,
2014-03-06,,,,,,,,,
2014-03-07,,,,,,,,,
2014-03-08,,,,,,,,,
2014-03-09,,,,,,,,,
2014-03-10,,,,,,,,,
2014-03-11,,,,,,,,,
2014-03-12,,,,,,,,,
2014-03-13,,,,,,,,,
2014-03-14,,,,,,,,,
2014-03-15,,,,,,,,,
2014-03-16,,,,,,,,,
2014-03-17,,,,,,,,,
2014-03-18,,,,,,,,,
2014-03-19,,,,,,,,,
2014-03-20,,,,,,,,,
2014-03-21,,,,,,,,,
2014-03-22,,,,,,,,,
2014-03-23,,,,,,,,,
2014-03-24,,,,,,,,,
2014-03-25,,,,,,,,,
2014-03-26,,,,,,,,,
2014-03-27,,,,,,,,,
2014-03-28,,,,,,,,,
2014-03-29,,,,,,,,,
2014-03-30,,,,,,,,,
2014-03-31,,,,,,,,,
2014-04-01,,,,,,,,,
2014-04-02,,,,,,,,,
2014-04-03,,,,,,,,,
2014-04-04,,,,,,,,,
2014-04-05,,,,,,,,,
2014-04-06,,,,,,,,,
2014-04-07,,,,,,,,,
2014-04-08,,,,,,,,,
2014-04-09,,,,,,,,,
2014-04-10,,,,,,,,,
2014-04-11,,,,,,,,,
2014-04-12,,,,,,,,,
2014-04-13,,,,,,,,,
2014-04-14,,,,,,,,,
2014-04-15,,,,,,,,,
2014-04-16,,,,,,,,,
2014-04-17,,,,,,,,,
2014-04-18,,,,,,,,,
2014-04-19,,,,,,,,,
2014-04-20,,,,,,,,,
2014-04-21,,,,,,,,,
2014-04-22,,,,,,,,,
2014-04-23,,,,,,,,,
2014-04-24,,,,,,,,,
2014-04-25,,,,,,,,,
2014-04-26,,,,,,,,,
2014-04-27,,,,,,,,,
2014-04-28,,,,,,,,,
2014-04-29,,,,,,,,,
2014-04-30,,,,,,,,,
2014-05-01,,,,,,,,,
2014-05-02,,,,,,,,,
2014-05-03,,,,,,,,,
2014-05-04,,,,,,,,,
2014-05-05,,,,,,,,,
2014-05-06,,,,,,,,,
2014-05-07,,,,,,,,,
2014-05-08,,,,,,,,,
2014-05-09,,,,,,,,,
2014-05-10,,,,,,,,,
2014-05-11,,,,,,,,,
2014-05-12,,,,,,,,,
2014-05-13,,,,,,,,,
2014-05-14,,,,,,,,,
2014-05-15,,,,,,,,,
2014-05-16,,,,,,,,,
2014-05-17,,,,,,,,,
2014-05-18,,,,,,,,,
2014-05-19,,,,,,,,,
2014-05-20,,,,,,,,,
2014-05-21,,,,,,,,,
2014-05-22,,,,,,,,,
2014-05-23,,,,,,,,,
2014-05-24,,,,,,,,,
2014-05-25,,,,,,,,,
2014-05-26,,,,,,,,,
2014-05-27,,,,,,,,,
2014-05-28,,,,,,,,,
2014-05-29,,,,,,,,,
2014-05-30,,,,,,,,,
2014-05-31,,,,,,,,,
2014-06-01,28.075,34.75,66.3,78.675,99.6,6.0,1168.75,6.0,6.0
2014-06-02,32.775,50.0,215.79999999999998,246.1,254.0,14.0,3303.1500000000005,6.0,0.0
2014-06-03,29.8,49.550000000000004,208.14999999999998,236.025,242.4,13.0,3113.05,6.0,1.0
2014-06-04,28.4,48.95,161.64999999999998,183.275,190.4,8.0,2510.2,6.0,2.0
2014-06-05,28.0,54.85000000000001,168.5,200.95,214.8,14.0,2678.05,6.0,3.0
2014-06-06,35.4,87.35,194.0,243.425,259.8,12.0,3203.5499999999997,6.0,4.0
2014-06-07,30.0,59.35,90.79999999999998,106.725,116.4,9.0,1790.5,6.0,5.0
2014-06-08,27.875,32.6,58.35,88.35,91.4,3.0,1079.7,6.0,6.0
2014-06-09,27.6,69.0,183.60000000000002,212.4,229.6,14.0,2806.3499999999995,6.0,0.0
2014-06-10,26.6,61.400000000000006,150.85000000000002,175.075,182.6,14.0,2388.4,6.0,1.0
2014-06-11,27.2,50.95,146.9,181.75,224.8,7.0,2301.5499999999997,6.0,2.0
2014-06-12,25.075,64.39999999999999,158.85,194.75,209.0,11.0,2522.35,6.0,3.0
2014-06-13,29.3,51.95,117.14999999999999,141.875,151.6,11.0,1998.8,6.0,4.0
2014-06-14,27.275,30.700000000000003,67.8,80.35,89.6,12.0,1207.5000000000002,6.0,5.0
2014-06-15,26.8,39.349999999999994,55.849999999999994,63.8,71.0,19.0,1126.4,6.0,6.0
2014-06-16,28.725,67.75,148.70000000000002,183.65,186.6,12.0,2532.099999999999,6.0,0.0
2014-06-17,29.225,95.8,137.79999999999998,162.35,169.6,15.0,2610.15,6.0,1.0
2014-06-18,142.2,142.2,142.2,142.2,142.2,0.0,142.2,6.0,2.0
