Date,AHU: Supply Air Temperature,AHU: Supply Air Temperature Set Point,AHU: Outdoor Air Temperature,AHU: Mixed Air Temperature,AHU: Return Air Temperature,AHU: Supply Air Fan Status,AHU: Return Air Fan Status,AHU: Supply Air Fan Speed Control Signal,AHU: Return Air Fan Speed Control Signal,AHU: Exhaust Air Damper Control Signal,AHU: Outdoor Air Damper Control Signal,AHU: Return Air Damper Control Signal,AHU: Cooling Coil Valve Control Signal,AHU: Heating Coil Valve Control Signal,AHU: Supply Air Duct Static Pressure Set Point,AHU: Supply Air Duct Static Pressure,Occupancy Mode Indicator,Fault Detection Ground Truth
8/28/2007 0:00,75.92,55,80.61,73.54,73.86,0,0,0.2,0.2,0,0,1,0,0,1.4,0,0,1
8/28/2007 0:01,75.71,55,80.68,73.54,73.86,0,0,0.2,0.2,0,0,1,0,0,1.4,0,0,1
8/28/2007 0:02,75.71,55,80.66,73.54,73.86,0,0,0.2,0.2,0,0,1,0,0,1.4,0,0,1
8/28/2007 0:03,75.6,55,80.69,73.54,73.86,0,0,0.2,0.2,0,0,1,0,0,1.4,0,0,1
8/28/2007 0:04,75.81,55,80.6,73.54,73.86,0,0,0.2,0.2,0,0,1,0,0,1.4,0,0,1
8/28/2007 0:05,75.6,55,80.58,73.54,73.86,0,0,0.2,0.2,0,0,1,0,0,1.4,0,0,1
8/28/2007 0:06,75.6,55,80.59,73.54,73.86,0,0,0.2,0.2,0,0,1,0,0,1.4,0,0,1
8/28/2007 0:07,75.6,55,80.52,73.44,73.86,0,0,0.2,0.2,0,0,1,0,0,1.4,0,0,1
8/28/2007 0:08,75.71,55,80.55,73.44,73.86,0,0,0.2,0.2,0,0,1,0,0,1.4,0,0,1
8/28/2007 0:09,75.71,55,80.4,73.44,73.76,0,0,0.2,0.2,0,0,1,0,0,1.4,0,0,1
8/28/2007 0:10,75.6,55,80.41,73.65,74.07,0,0,0.2,0.2,0,0,1,0,0,1.4,0,0,1
8/28/2007 0:11,75.49,55,80.41,73.44,73.76,0,0,0.2,0.2,0,0,1,0,0,1.4,0,0,1
8/28/2007 0:12,75.49,55,80.32,73.65,73.97,0,0,0.2,0.2,0,0,1,0,0,1.4,0,0,1
8/28/2007 0:13,75.6,55,80.29,73.44,73.76,0,0,0.2,0.2,0,0,1,0,0,1.4,0,0,1
8/28/2007 0:14,75.81,55,80.29,73.44,73.65,0,0,0.2,0.2,0,0,1,0,0,1.4,0,0,1
8/28/2007 0:15,75.49,55,80.28,73.44,73.76,0,0,0.2,0.2,0,0,1,0,0,1.4,0,0,1
8/28/2007 0:16,75.49,55,80.23,73.65,73.86,0,0,0.2,0.2,0,0,1,0,0,1.4,0,0,1
