timestamp_utc,damper_pct,zone_flow,fan_status
2026-01-05T12:00:00Z,0.4,400,1
2026-01-05T12:04:00Z,0.4,400,1
2026-01-05T12:08:00Z,0.4,400,1
2026-01-05T12:12:00Z,0.4,400,1
2026-01-05T12:16:00Z,0.4,400,1
2026-01-05T12:20:00Z,0.4,400,1
2026-01-05T12:24:00Z,0.4,400,1
2026-01-05T12:28:00Z,0.4,400,1
2026-01-05T12:32:00Z,0.4,400,1
2026-01-05T12:36:00Z,0.4,400,1
2026-01-05T12:40:00Z,0.4,400,1
2026-01-05T12:44:00Z,0.4,400,1
2026-01-05T12:48:00Z,0.4,400,1
2026-01-05T12:52:00Z,0.4,400,1
2026-01-05T12:56:00Z,0.4,400,1
2026-01-05T13:00:00Z,0.4,400,1
2026-01-05T13:04:00Z,0.4,400,1
2026-01-05T13:08:00Z,0.4,400,1
2026-01-05T13:12:00Z,0.4,400,1
2026-01-05T13:16:00Z,0.4,400,1
2026-01-05T13:20:00Z,0.4,400,1
2026-01-05T13:24:00Z,0.4,400,1
2026-01-05T13:28:00Z,0.4,400,1
2026-01-05T13:32:00Z,0.4,400,1
2026-01-05T13:36:00Z,0.4,400,1
2026-01-05T13:40:00Z,0.4,400,1
2026-01-05T13:44:00Z,0.4,400,1
2026-01-05T13:48:00Z,0.4,400,1
2026-01-05T13:52:00Z,0.4,400,1
2026-01-05T13:56:00Z,0.4,400,1
2026-01-05T14:00:00Z,0.4,400,1
2026-01-05T14:04:00Z,0.4,400,1
2026-01-05T14:08:00Z,0.4,400,1
2026-01-05T14:12:00Z,0.4,400,1
2026-01-05T14:16:00Z,0.4,400,1
2026-01-05T14:20:00Z,0.4,400,1
2026-01-05T14:24:00Z,0.4,400,1
2026-01-05T14:28:00Z,0.4,400,1
2026-01-05T14:32:00Z,0.4,400,1
2026-01-05T14:36:00Z,0.4,400,1
2026-01-05T14:40:00Z,0.4,400,1
2026-01-05T14:44:00Z,0.4,400,1
2026-01-05T14:48:00Z,0.4,400,1
2026-01-05T14:52:00Z,0.4,400,1
2026-01-05T14:56:00Z,0.4,400,1
2026-01-05T15:00:00Z,0.4,400,1
2026-01-05T15:04:00Z,0.4,400,1
2026-01-05T15:08:00Z,0.4,400,1
