timestamp_utc,sat,sat_sp,htg_valve_pct,fan_status
2026-01-05T12:00:00Z,55,55,0.1,1
2026-01-05T12:05:00Z,55,55,0.1,1
2026-01-05T12:10:00Z,55,55,0.1,1
2026-01-05T12:15:00Z,55,55,0.1,1
2026-01-05T12:20:00Z,55,55,0.1,1
2026-01-05T12:25:00Z,55,55,0.1,1
2026-01-05T12:55:00Z,55,55,0.1,1
2026-01-05T13:00:00Z,55,55,0.1,1
2026-01-05T13:05:00Z,55,55,0.1,1
2026-01-05T13:10:00Z,55,55,0.1,1
2026-01-05T13:15:00Z,55,55,0.1,1
2026-01-05T13:20:00Z,55,55,0.1,1
2026-01-05T13:25:00Z,55,55,0.1,1
2026-01-05T13:30:00Z,55,55,0.1,1
2026-01-05T13:35:00Z,55,55,0.1,1
2026-01-05T13:40:00Z,55,55,0.1,1
2026-01-05T13:45:00Z,55,55,0.1,1
2026-01-05T13:50:00Z,55,55,0.1,1
2026-01-05T13:55:00Z,55,55,0.1,1
