timestamp_utc,sat,sat_sp,htg_valve_pct,fan_status
2026-01-05T12:00:00Z,55,55,0.1,1
2026-01-05T12:05:30Z,55,55,0.1,1
2026-01-05T12:11:00Z,55,55,0.1,1
2026-01-05T12:16:30Z,55,55,0.1,1
2026-01-05T12:22:00Z,55,55,0.1,1
2026-01-05T12:27:30Z,55,55,0.1,1
2026-01-05T12:33:00Z,55,55,0.1,1
2026-01-05T12:38:30Z,55,55,0.1,1
2026-01-05T12:44:00Z,55,55,0.1,1
2026-01-05T12:49:30Z,55,55,0.1,1
2026-01-05T12:55:00Z,55,55,0.1,1
2026-01-05T13:00:30Z,55,55,0.1,1
2026-01-05T13:06:00Z,55,55,0.1,1
2026-01-05T13:11:30Z,55,55,0.1,1
2026-01-05T13:17:00Z,55,55,0.1,1
2026-01-05T13:22:30Z,55,55,0.1,1
2026-01-05T13:28:00Z,55,55,0.1,1
2026-01-05T13:33:30Z,55,55,0.1,1
2026-01-05T13:39:00Z,55,55,0.1,1
2026-01-05T13:44:30Z,55,55,0.1,1
2026-01-05T13:50:00Z,55,55,0.1,1
2026-01-05T13:55:30Z,55,55,0.1,1
2026-01-05T14:01:00Z,55,55,0.1,1
2026-01-05T14:06:30Z,55,55,0.1,1
